127.0.0.1 - - [22/Aug/2022:01:22:44 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [22/Aug/2022:01:22:51 -0300] "GET /ExemploHTML/index.html HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [22/Aug/2022:01:22:52 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [22/Aug/2022:01:23:59 -0300] "GET /ExemploHTML/index.html HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [22/Aug/2022:01:34:21 -0300] "GET /ExemploHTML/index.html HTTP/1.1" 200 1416
0:0:0:0:0:0:0:1 - - [22/Aug/2022:01:37:45 -0300] "GET /ExemploHTML/index.html HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [22/Aug/2022:01:38:34 -0300] "GET /ExemploHTML/index.html HTTP/1.1" 200 1416
0:0:0:0:0:0:0:1 - - [22/Aug/2022:01:39:09 -0300] "GET /ExemploHTML/index.html HTTP/1.1" 200 1416
0:0:0:0:0:0:0:1 - - [22/Aug/2022:01:39:10 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [22/Aug/2022:01:40:01 -0300] "GET /ExemploHTML/index.html HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [22/Aug/2022:01:56:01 -0300] "GET /ExemploHTML/index.html HTTP/1.1" 200 1740
0:0:0:0:0:0:0:1 - - [22/Aug/2022:01:56:01 -0300] "GET /ExemploHTML/css/styles.css HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [22/Aug/2022:01:58:56 -0300] "GET /ExemploHTML/index.html HTTP/1.1" 200 1748
0:0:0:0:0:0:0:1 - - [22/Aug/2022:01:58:56 -0300] "GET /ExemploHTML/css/styles.css HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [22/Aug/2022:02:03:02 -0300] "GET /ExemploHTML/index.html HTTP/1.1" 200 1828
0:0:0:0:0:0:0:1 - - [22/Aug/2022:02:03:02 -0300] "GET /ExemploHTML/css/styles.css HTTP/1.1" 200 1016
0:0:0:0:0:0:0:1 - - [22/Aug/2022:02:04:52 -0300] "GET /ExemploHTML/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:02:04:52 -0300] "GET /ExemploHTML/css/styles.css HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [22/Aug/2022:02:06:54 -0300] "GET /ExemploHTML/index.html HTTP/1.1" 200 1971
0:0:0:0:0:0:0:1 - - [22/Aug/2022:02:06:54 -0300] "GET /ExemploHTML/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:02:06:55 -0300] "GET /ExemploHTML/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:02:06:56 -0300] "GET /ExemploHTML/cadastro.html HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [22/Aug/2022:02:11:44 -0300] "GET /ExemploHTML/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:02:11:44 -0300] "GET /ExemploHTML/css/styles.css HTTP/1.1" 200 1427
0:0:0:0:0:0:0:1 - - [22/Aug/2022:02:13:05 -0300] "GET /ExemploHTML/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:02:13:05 -0300] "GET /ExemploHTML/css/styles.css HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [22/Aug/2022:02:13:27 -0300] "GET /ExemploHTML/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:02:13:27 -0300] "GET /ExemploHTML/css/styles.css HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [22/Aug/2022:02:17:45 -0300] "GET /ExemploHTML/index.html HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [22/Aug/2022:02:17:47 -0300] "GET /ExemploHTML/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:02:18:14 -0300] "GET /ExemploHTML/index.html HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [22/Aug/2022:02:18:14 -0300] "GET /ExemploHTML/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:02:18:16 -0300] "GET /ExemploHTML/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:02:18:17 -0300] "GET /ExemploHTML/cadastro.html HTTP/1.1" 200 1979
0:0:0:0:0:0:0:1 - - [22/Aug/2022:02:18:18 -0300] "GET /ExemploHTML/index.html HTTP/1.1" 304 -
